iter	Passed	Remaining
409	11178	2453
410	11203	2426
411	11229	2398
412	11255	2371
413	11284	2344
414	11309	2316
415	11332	2288
416	11354	2260
417	11377	2232
418	11409	2205
419	11435	2178
420	11465	2151
421	11495	2124
422	11520	2097
423	11543	2069
424	11569	2041
425	11596	2014
426	11628	1987
427	11658	1961
428	11687	1934
429	11717	1907
430	11745	1880
431	11773	1853
432	11798	1825
433	11823	1798
434	11850	1770
435	11875	1743
436	11902	1715
437	11928	1688
438	11952	1660
439	11981	1633
440	12007	1606
441	12032	1578
442	12059	1551
443	12087	1524
444	12119	1497
445	12141	1470
446	12170	1443
447	12196	1415
448	12224	1388
449	12249	1361
450	12273	1333
451	12301	1306
452	12329	1279
453	12359	1252
454	12389	1225
455	12415	1198
456	12443	1170
457	12468	1143
458	12495	1116
459	12519	1088
460	12546	1061
461	12569	1033
462	12592	1006
463	12617	978
464	12642	951
465	12666	924
466	12689	896
467	12713	869
468	12745	842
469	12771	815
470	12798	788
471	12826	760
472	12853	733
473	12879	706
474	12906	679
475	12932	652
476	12956	624
477	12981	597
478	13006	570
479	13027	542
480	13048	515
481	13069	488
482	13094	460
483	13115	433
484	13139	406
485	13159	379
486	13179	351
487	13203	324
488	13228	297
489	13252	270
490	13274	243
491	13298	216
492	13317	189
493	13335	161
494	13352	134
495	13367	107
496	13382	80
497	13398	53
498	13413	26
499	13429	0
681	0
