iter	Logloss
0	0.6772294947
1	0.6638561002
2	0.6505187581
3	0.6412766368
4	0.634775662
5	0.6288107511
6	0.6229773581
7	0.6172938792
8	0.6059835264
9	0.6000040248
10	0.5963152471
11	0.593436601
12	0.5858146184
13	0.5817474498
14	0.5779697543
15	0.5741774406
16	0.5632731345
17	0.555635815
18	0.5527218811
19	0.5499828299
20	0.544941803
21	0.5363686812
22	0.5324962135
23	0.5301713418
24	0.5258737659
25	0.5213370088
26	0.514445201
27	0.5123215954
28	0.5085711428
29	0.5067128309
30	0.5046790289
31	0.4984833126
32	0.4967466575
33	0.4909944895
34	0.4886693638
35	0.4841603941
36	0.4798759412
37	0.4776092869
38	0.4758530784
39	0.4708996766
40	0.4678374355
41	0.4620478956
42	0.4595139913
43	0.4582558174
44	0.4568590227
45	0.4538283754
46	0.4526510878
47	0.4516051045
48	0.4456583609
49	0.4435991118
50	0.4410197314
51	0.4381424448
52	0.4372288395
53	0.4360654174
54	0.4347878154
55	0.433407885
56	0.432563633
57	0.4302073591
58	0.4292153861
59	0.4271410735
60	0.4263097178
61	0.4251731834
62	0.424498765
63	0.4216776643
64	0.4210064391
65	0.4186019363
66	0.4175674296
67	0.4167270366
68	0.4154145557
69	0.4133851661
70	0.410269754
71	0.4095210752
72	0.4068718182
73	0.4059987847
74	0.4052727175
75	0.4045172718
76	0.4036113256
77	0.4028510373
78	0.4017864556
79	0.4011560953
80	0.3984138456
81	0.3977638326
82	0.3969561583
83	0.3945743119
84	0.3938916257
85	0.3927693053
86	0.3912715184
87	0.3895277781
88	0.3886788306
89	0.3879282042
90	0.3870513648
91	0.3859791525
92	0.3845176761
93	0.3835685625
94	0.3828516507
95	0.3821193483
96	0.3815927487
97	0.3804768478
98	0.379028094
99	0.3782674663
100	0.3764503517
101	0.3757361093
102	0.3749927169
103	0.3744474633
104	0.3738124236
105	0.3732691733
106	0.372164631
107	0.371086534
108	0.3705001589
109	0.3684875834
110	0.3678882526
111	0.3673011859
112	0.3656817642
113	0.3649844411
114	0.3643746013
115	0.362856168
116	0.3622284486
117	0.3607166468
118	0.3592593123
119	0.3583574964
120	0.3576887105
121	0.3571249788
122	0.3565722987
123	0.3559633734
124	0.3554757405
125	0.3545685291
126	0.3540277121
127	0.3533098401
128	0.3528775151
129	0.3523617431
130	0.3519619339
131	0.3515017937
132	0.3509223423
133	0.3503737751
134	0.3497599784
135	0.3492178997
136	0.3482798922
137	0.3479104293
138	0.3474591821
139	0.346920203
140	0.3453413039
141	0.3449413866
142	0.3444756117
143	0.3441196589
144	0.3434155151
145	0.3430374268
146	0.3425556433
147	0.3421303683
148	0.3417120486
149	0.3413175392
150	0.3409358568
151	0.3396333119
152	0.3393127092
153	0.3372117822
154	0.3367662852
155	0.33559284
156	0.3351235345
157	0.3346551222
158	0.3340446479
159	0.3326037838
160	0.3321682211
161	0.3313504528
162	0.3310643665
163	0.3305296422
164	0.3300127145
165	0.3290011416
166	0.32841197
167	0.3279470687
168	0.3270845673
169	0.3264283445
170	0.3256629819
171	0.3253844435
172	0.3249828046
173	0.3241979474
174	0.3234044545
175	0.3219514155
176	0.3208711171
177	0.3196063633
178	0.3188077555
179	0.3181909225
180	0.3178343386
181	0.3171322567
182	0.3157563543
183	0.3151355546
184	0.3145735525
185	0.3140073242
186	0.3134955169
187	0.3131079562
188	0.3126406969
189	0.3120844766
190	0.308970458
191	0.3084620603
192	0.3078669326
193	0.3073341145
194	0.3068662114
195	0.3065359334
196	0.3059320251
197	0.3053206001
198	0.3050144859
199	0.3044488876
200	0.303950348
201	0.3035356023
202	0.3027487228
203	0.3023804632
204	0.3016664766
205	0.3010664801
206	0.2999907132
207	0.2995009043
208	0.2992007955
209	0.2985911242
210	0.2978792366
211	0.2967414856
212	0.2961561452
213	0.2957732992
214	0.2952420028
215	0.294724748
216	0.2941605756
217	0.2936289381
218	0.2932083696
219	0.292517642
220	0.2915225611
221	0.2908738248
222	0.2901390656
223	0.2897139283
224	0.2892501919
225	0.2887079249
226	0.2875938049
227	0.2870718054
228	0.2862151914
229	0.285695697
230	0.2851247411
231	0.2834543236
232	0.2830473512
233	0.2828452531
234	0.2823619862
235	0.281927388
236	0.2814281404
237	0.2810453412
238	0.2804968185
239	0.2799017822
240	0.2784206037
241	0.277965458
242	0.2753931194
243	0.274437731
244	0.2738835432
245	0.2733571524
246	0.2727224473
247	0.272318148
248	0.2717137476
249	0.2713184182
250	0.2708923163
251	0.2704292219
252	0.2699343521
253	0.2694066242
254	0.2689214968
255	0.2683935109
256	0.2677868292
257	0.2673095381
258	0.2667652264
259	0.2662376341
260	0.2656463336
261	0.2652314985
262	0.2647290177
263	0.2644642544
264	0.2641060964
265	0.2635839427
266	0.2631269484
267	0.2627340529
268	0.2624681452
269	0.2616221505
270	0.2612270959
271	0.2608144585
272	0.2604692898
273	0.259998532
274	0.2594694337
275	0.2590575993
276	0.2584229899
277	0.2572260123
278	0.256945399
279	0.2562707863
280	0.2557128835
281	0.2554689672
282	0.255039029
283	0.2546874243
284	0.2542328553
285	0.2536055324
286	0.2530947635
287	0.2525042932
288	0.2519908937
289	0.2516631434
290	0.2512059409
291	0.25064297
292	0.2502023739
293	0.249830951
294	0.2495212449
295	0.2487917836
296	0.2483310008
297	0.2478818707
298	0.2473951321
299	0.2468165104
300	0.2464649654
301	0.2462213755
302	0.2457002464
303	0.245351996
304	0.2448045252
305	0.2443805981
306	0.2440854778
307	0.2435234083
308	0.2431262611
309	0.2426740452
310	0.2421938583
311	0.2417561893
312	0.2414571314
313	0.2409425102
314	0.2405581647
315	0.2400889232
316	0.239686508
317	0.2392854571
318	0.2388557873
319	0.2386172692
320	0.2382589374
321	0.2378136303
322	0.2375104258
323	0.2371146795
324	0.2367799829
325	0.2364622483
326	0.2359667259
327	0.235734568
328	0.2352656607
329	0.2349513926
330	0.234430629
331	0.2340494671
332	0.2330738974
333	0.232648431
334	0.2323373175
335	0.231997622
336	0.2315853711
337	0.2312458846
338	0.2310256868
339	0.2306452452
340	0.2303655339
341	0.2300932558
342	0.2296299137
343	0.22923953
344	0.2288388824
345	0.2284450297
346	0.2280627288
347	0.2277217044
348	0.2273719873
349	0.2269355342
350	0.2264998931
351	0.2262150565
352	0.2258313881
353	0.2254627273
354	0.2249972177
355	0.224652868
356	0.2244111631
357	0.2241297803
358	0.2237969552
359	0.223328991
360	0.2228338074
361	0.2224510806
362	0.2220804967
363	0.2216554116
364	0.2213689481
365	0.2210450557
366	0.2207019079
367	0.2202857619
368	0.2200441439
369	0.2196307933
370	0.2193590435
371	0.2188805144
372	0.2185053975
373	0.2182200244
374	0.2178442364
375	0.2175041406
376	0.2170978234
377	0.2165659001
378	0.2162376354
379	0.2158570947
380	0.215653597
381	0.2153011585
382	0.2150503989
383	0.2146629347
384	0.2142059798
385	0.2137879994
386	0.2134545678
387	0.2130222587
388	0.2126890089
389	0.2123952136
390	0.2119918
391	0.2116095138
392	0.2113017283
393	0.2109643683
394	0.210653595
395	0.2102839682
396	0.21001799
397	0.2096457229
398	0.2093868716
399	0.2091037836
400	0.2085224622
401	0.2082040735
402	0.2079507995
403	0.2075706113
404	0.2072301697
405	0.2068598178
406	0.2066309939
407	0.206368912
408	0.2060427782
409	0.2058402742
410	0.2055581684
411	0.2052038122
412	0.2049156752
413	0.204542127
414	0.2042415449
415	0.2038265206
416	0.2035015357
417	0.203177842
418	0.2029177385
419	0.2025974416
420	0.2023834153
421	0.2021522812
422	0.2018210914
423	0.2015550871
424	0.201275073
425	0.2009276712
426	0.2006142808
427	0.2003211308
428	0.2000853923
429	0.1998731965
430	0.199516212
431	0.1993089494
432	0.1989711884
433	0.1986588361
434	0.1983613384
435	0.1979700361
436	0.1976877615
437	0.197368667
438	0.1970642265
439	0.1966681346
440	0.1963301821
441	0.1960249628
442	0.195714809
443	0.1954693604
444	0.1951438924
445	0.1948459242
446	0.1946312805
447	0.194346328
448	0.1939849894
449	0.1937030539
450	0.1933767109
451	0.1931580976
452	0.1928049953
453	0.1924840473
454	0.1921048966
455	0.1918140893
456	0.1915195402
457	0.1911382846
458	0.1908992946
459	0.1907295631
460	0.1904586571
461	0.1901917906
462	0.1899477853
463	0.1895824898
464	0.189133816
465	0.1886953072
466	0.1884185745
467	0.1881855932
468	0.1879405654
469	0.1876263237
470	0.1873806017
471	0.1870810635
472	0.1869122801
473	0.1866483677
474	0.1863504289
475	0.1861547139
476	0.1858261281
477	0.1855435757
478	0.1853051089
479	0.1850440774
480	0.1848075966
481	0.1845712436
482	0.1842474392
483	0.1838946725
484	0.1835614842
485	0.183356281
486	0.1830503059
487	0.1828227
488	0.1826431332
489	0.1823993329
490	0.18217363
491	0.1818927134
492	0.1814883884
493	0.1812402736
494	0.1810216061
495	0.1808443728
496	0.180565168
497	0.1802634403
498	0.1798728996
499	0.1795158781

448
658
